course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled,students_enrolled_numeric,combined_features,difficulty_encoded,certificate_encoded,popularity_score,cluster
blockchain,university at buffalo,specialization,4.6,intermediate,68k,68000.0,blockchain university at buffalo specialization intermediate,2,2,0.4825578120915468,2
blockchain revolution,insead,specialization,4.7,beginner,21k,21000.0,blockchain revolution insead specialization beginner,1,2,0.3517524230378841,3
blockchain revolution in financial services,insead,specialization,4.6,beginner,1.6k,1600.0,blockchain revolution in financial services insead specialization beginner,1,2,0.0041204167998953,3
blockchain foundations and use cases,consensys academy,course,4.7,beginner,31k,31000.0,blockchain foundations and use cases consensys academy course beginner,1,0,0.4014543246489856,3
boosting creativity for innovation,hec paris,course,4.9,beginner,9.5k,9500.0,boosting creativity for innovation hec paris course beginner,1,0,0.2888132183767715,3
brand management aligning business brand and behaviour,london business school,course,4.9,beginner,57k,57000.0,brand management aligning business brand and behaviour london business school course beginner,1,0,0.5174680624733541,6
branding the creative journey,ie business school,specialization,4.6,beginner,26k,26000.0,branding the creative journey ie business school specialization beginner,1,2,0.3598646412108843,6
budgeting and scheduling projects,university of california irvine,course,4.7,mixed,84k,84000.0,budgeting and scheduling projects university of california irvine course mixed,3,0,0.5286680628988205,9
bugs 101 insect human interactions,university of alberta,course,4.9,beginner,15k,15000.0,bugs 101 insect human interactions university of alberta course beginner,1,0,0.34710023243866,3
build a modern computer from first principles from nand to tetris project centered course,hebrew university of jerusalem,course,4.9,mixed,95k,95000.0,build a modern computer from first principles from nand to tetris project centered course hebrew university of jerusalem course mixed,3,0,0.5826592161784556,7
building batch data pipelines on gcp,google cloud,course,4.5,intermediate,7.3k,7300.0,building batch data pipelines on gcp google cloud course intermediate,2,0,0.1786271147192497,8
building conversational experiences with dialogflow,google cloud,course,4.5,beginner,22k,22000.0,building conversational experiences with dialogflow google cloud course beginner,1,0,0.3194027914518971,8
building resilient streaming analytics systems on gcp,google cloud,course,4.6,intermediate,5.8k,5800.0,building resilient streaming analytics systems on gcp google cloud course intermediate,2,0,0.168419862751594,8
building scalable java microservices with spring boot and spring cloud,google cloud,course,4.3,intermediate,24k,24000.0,building scalable java microservices with spring boot and spring cloud google cloud course intermediate,2,0,0.2922204985327861,8
building your leadership skills,hec paris,course,4.5,mixed,67k,67000.0,building your leadership skills hec paris course mixed,3,0,0.4615239829617024,7
business analytics,university of pennsylvania,specialization,4.6,beginner,280k,280000.0,business analytics university of pennsylvania specialization beginner,1,2,0.6631760056053415,6
business english,arizona state university,specialization,4.7,intermediate,38k,38000.0,business english arizona state university specialization intermediate,2,2,0.4274370575578539,0
business english communication skills,university of washington,specialization,4.7,intermediate,120k,120000.0,business english communication skills university of washington specialization intermediate,2,2,0.5741868008268618,2
business english networking,university of washington,course,4.7,intermediate,77k,77000.0,business english networking university of washington course intermediate,2,0,0.5175637267824018,2
business foundations,university of pennsylvania,specialization,4.7,beginner,510k,510000.0,business foundations university of pennsylvania specialization beginner,1,2,0.75884315675557,6
business model innovation,hec paris,course,4.7,mixed,13k,13000.0,business model innovation hec paris course mixed,3,0,0.2905525924975802,7
business statistics and analysis,rice university,specialization,4.7,beginner,110k,110000.0,business statistics and analysis rice university specialization beginner,1,2,0.5630824232759473,6
business strategies for a better world,university of pennsylvania,specialization,4.7,beginner,24k,24000.0,business strategies for a better world university of pennsylvania specialization beginner,1,2,0.3687930660529881,6
business strategy,university of virginia,specialization,4.7,beginner,89k,89000.0,business strategy university of virginia specialization beginner,1,2,0.5360469658725022,6
business technology management,indian school of business,specialization,4.5,beginner,67k,67000.0,business technology management indian school of business specialization beginner,1,2,0.4615239829617024,6
business transformation with google cloud,google cloud,course,4.7,beginner,10k,10000.0,business transformation with google cloud google cloud course beginner,1,0,0.257072361742785,8
business writing,university of colorado boulder,course,4.8,beginner,48k,48000.0,business writing university of colorado boulder course beginner,1,0,0.4763936480545236,6
business and financial modeling,university of pennsylvania,specialization,4.5,beginner,160k,160000.0,business and financial modeling university of pennsylvania specialization beginner,1,2,0.5726145093870048,6
c for everyone programming fundamentals,university of california santa cruz,course,4.5,beginner,31k,31000.0,c for everyone programming fundamentals university of california santa cruz course beginner,1,0,0.3631680408888851,9
c programming for unity game development,university of colorado system,specialization,4.7,beginner,36k,36000.0,c programming for unity game development university of colorado system specialization beginner,1,2,0.420537134214225,3
covid 19 contact tracing,johns hopkins university,course,4.9,beginner,220k,220000.0,covid 19 contact tracing johns hopkins university course beginner,1,0,0.6898282257529011,4
covid 19 what you need to know cme eligible,osmosis,course,4.8,beginner,32k,32000.0,covid 19 what you need to know cme eligible osmosis course beginner,1,0,0.4246491367919272,3
cameras exposure and photography,michigan state university,course,4.7,mixed,130k,130000.0,cameras exposure and photography michigan state university course mixed,3,0,0.5844018450822714,0
camino a la excelencia en gesti n de proyectos,pontificia universidad cat lica de chile,course,4.7,beginner,340k,340000.0,camino a la excelencia en gesti n de proyectos pontificia universidad cat lica de chile course beginner,1,0,0.7070974412610069,3
capstone retrieving processing and visualizing data with python,university of michigan,course,4.6,mixed,82k,82000.0,capstone retrieving processing and visualizing data with python university of michigan course mixed,3,0,0.5064496057487489,5
career success,university of california irvine,specialization,4.4,beginner,790k,790000.0,career success university of california irvine specialization beginner,1,2,0.7572634040398944,9
challenging forensic science how science should speak to court,university of lausanne,course,4.8,beginner,31k,31000.0,challenging forensic science how science should speak to court university of lausanne course beginner,1,0,0.4205974665290362,3
chemicals and health,johns hopkins university,course,4.7,beginner,23k,23000.0,chemicals and health johns hopkins university course beginner,1,0,0.3633617989926501,4
chicken behaviour and welfare,the university of edinburgh,course,4.7,mixed,19k,19000.0,chicken behaviour and welfare the university of edinburgh course mixed,3,0,0.3389803170631267,7
child nutrition and cooking,stanford university,course,4.7,beginner,30k,30000.0,child nutrition and cooking stanford university course beginner,1,0,0.3972697936678271,3
chinese for hsk 1,peking university,course,4.8,beginner,22k,22000.0,chinese for hsk 1 peking university course beginner,1,0,0.3768322170920486,3
cisco networking basics,cisco,specialization,4.7,beginner,57k,57000.0,cisco networking basics cisco specialization beginner,1,2,0.4791817787132535,3
classical sociological theory,university of amsterdam,course,4.8,mixed,51k,51000.0,classical sociological theory university of amsterdam course mixed,3,0,0.4841304632385106,7
claves de la direcci n de empresas,iese business school,specialization,4.8,beginner,51k,51000.0,claves de la direcci n de empresas iese business school specialization beginner,1,2,0.4841304632385106,6
climate change and health from science to action,yale university,specialization,4.6,beginner,4.8k,4800.0,climate change and health from science to action yale university specialization beginner,1,2,0.1442732029731392,3
clinical terminology for international and u s students,university of pittsburgh,course,4.8,beginner,32k,32000.0,clinical terminology for international and u s students university of pittsburgh course beginner,1,0,0.4246491367919272,3
cloud computing,university of illinois at urbana champaign,specialization,4.4,intermediate,110k,110000.0,cloud computing university of illinois at urbana champaign specialization intermediate,2,2,0.5056529976357957,1
cloud computing basics cloud 101,learnquest,course,4.5,beginner,37k,37000.0,cloud computing basics cloud 101 learnquest course beginner,1,0,0.3857474376469012,8
cloud engineering with google cloud,google cloud,professional certificate,4.7,intermediate,310k,310000.0,cloud engineering with google cloud google cloud professional certificate intermediate,2,1,0.6953087070976474,8
coaching skills for managers,university of california davis,specialization,4.7,intermediate,37k,37000.0,coaching skills for managers university of california davis specialization intermediate,2,2,0.4240337214070027,9
code yourself an introduction to programming,the university of edinburgh,course,4.7,beginner,120k,120000.0,code yourself an introduction to programming the university of edinburgh course beginner,1,0,0.5741868008268618,3
communication skills for engineers,rice university,specialization,4.7,beginner,15k,15000.0,communication skills for engineers rice university specialization beginner,1,2,0.3088139486785595,3
communication strategies for a virtual age,university of toronto,course,4.8,beginner,43k,43000.0,communication strategies for a virtual age university of toronto course beginner,1,0,0.4623555389135068,3
compassionate leadership through service learning with jane goodall and roots shoots,university of colorado boulder,course,4.9,beginner,6.4k,6400.0,compassionate leadership through service learning with jane goodall and roots shoots university of colorado boulder course beginner,1,0,0.2384102410957593,3
competencias digitales herramientas de ofim tica microsoft word excel power point,universitat aut noma de barcelona,course,4.7,beginner,43k,43000.0,competencias digitales herramientas de ofim tica microsoft word excel power point universitat aut noma de barcelona course beginner,1,0,0.4432123970334558,3
competitive strategy and organization design,ludwig maximilians universit t m nchen lmu,specialization,4.7,intermediate,350k,350000.0,competitive strategy and organization design ludwig maximilians universit t m nchen lmu specialization intermediate,2,2,0.710796847410708,2
computational social science,university of california davis,specialization,4.6,beginner,5.8k,5800.0,computational social science university of california davis specialization beginner,1,2,0.168419862751594,9
computational thinking for problem solving,university of pennsylvania,course,4.8,beginner,33k,33000.0,computational thinking for problem solving university of pennsylvania course beginner,1,0,0.4285761241274257,7
computer security and systems management,university of colorado system,specialization,4.6,beginner,27k,27000.0,computer security and systems management university of colorado system specialization beginner,1,2,0.3646809157760291,3
conflict management,university of california irvine,specialization,4.3,beginner,66k,66000.0,conflict management university of california irvine specialization beginner,1,2,0.4213185799285304,9
construction cost estimating and cost control,columbia university,course,4.7,beginner,19k,19000.0,construction cost estimating and cost control columbia university course beginner,1,0,0.3389803170631267,3
construction management,columbia university,specialization,4.7,beginner,61k,61000.0,construction management columbia university specialization beginner,1,2,0.487837215794344,3
construction project management,columbia university,course,4.8,beginner,43k,43000.0,construction project management columbia university course beginner,1,0,0.4623555389135068,3
construction scheduling,columbia university,course,4.8,beginner,15k,15000.0,construction scheduling columbia university course beginner,1,0,0.3279570905586095,3
contabilidad para no contadores,universidad nacional aut noma de m xico,course,4.7,beginner,220k,220000.0,contabilidad para no contadores universidad nacional aut noma de m xico course beginner,1,0,0.6515419419928006,3
content strategy for professionals,northwestern university,specialization,4.5,beginner,27k,27000.0,content strategy for professionals northwestern university specialization beginner,1,2,0.345537773895979,3
continuous delivery devops,university of virginia,course,4.6,beginner,26k,26000.0,continuous delivery devops university of virginia course beginner,1,0,0.3598646412108843,3
control of mobile robots,georgia institute of technology,course,4.8,mixed,49k,49000.0,control of mobile robots georgia institute of technology course mixed,3,0,0.4790250467309525,7
convolutional neural networks,deeplearning ai,course,4.9,intermediate,240k,240000.0,convolutional neural networks deeplearning ai course intermediate,2,0,0.7009326516444516,2
convolutional neural networks in tensorflow,deeplearning ai,course,4.7,intermediate,46k,46000.0,convolutional neural networks in tensorflow deeplearning ai course intermediate,2,0,0.4518191235228337,2
corporate commercial law i contracts employment law,university of illinois at urbana champaign,course,4.8,intermediate,10k,10000.0,corporate commercial law i contracts employment law university of illinois at urbana champaign course intermediate,2,0,0.2762155036228355,1
corporate finance essentials,iese business school,course,4.8,mixed,56k,56000.0,corporate finance essentials iese business school course mixed,3,0,0.496066123803224,6
corporate strategy,ucl school of management,course,4.8,beginner,7.8k,7800.0,corporate strategy ucl school of management course beginner,1,0,0.2445102290922269,6
corporate sustainability understanding and seizing the strategic opportunity,universit bocconi,course,4.6,mixed,10k,10000.0,corporate sustainability understanding and seizing the strategic opportunity universit bocconi course mixed,3,0,0.2379292198627345,7
correcci n estilo y variaciones de la lengua espa ola,universitat aut noma de barcelona,course,4.6,beginner,75k,75000.0,correcci n estilo y variaciones de la lengua espa ola universitat aut noma de barcelona course beginner,1,0,0.4950619893193626,3
cost and economics in pricing strategy,university of virginia,course,4.8,beginner,15k,15000.0,cost and economics in pricing strategy university of virginia course beginner,1,0,0.3279570905586095,3
costos para los negocios,universidad de chile,course,4.8,intermediate,43k,43000.0,costos para los negocios universidad de chile course intermediate,2,0,0.4623555389135068,2
crash course on python,google,course,4.8,beginner,81k,81000.0,crash course on python google course beginner,1,0,0.5431699879004053,8
creative problem solving,university of minnesota,course,4.3,mixed,140k,140000.0,creative problem solving university of minnesota course mixed,3,0,0.5172869369437341,7
creative writing,wesleyan university,specialization,4.6,beginner,140k,140000.0,creative writing wesleyan university specialization beginner,1,2,0.5747163625838856,3
creative writing the craft of plot,wesleyan university,course,4.7,mixed,120k,120000.0,creative writing the craft of plot wesleyan university course mixed,3,0,0.5741868008268618,7
creatividad dise o e innovaci n t cnicas y herramientas,arizona state university,specialization,4.7,beginner,150k,150000.0,creatividad dise o e innovaci n t cnicas y herramientas arizona state university specialization beginner,1,2,0.6026643792097222,0
cuidado de heridas en el mbito hospitalario,universidad nacional aut noma de m xico,course,4.8,intermediate,26k,26000.0,cuidado de heridas en el mbito hospitalario universidad nacional aut noma de m xico course intermediate,2,0,0.3981509249709853,3
cuidados y procedimientos generales en la atenci n del reci n nacido,universidad de chile,course,4.8,intermediate,22k,22000.0,cuidados y procedimientos generales en la atenci n del reci n nacido universidad de chile course intermediate,2,0,0.3768322170920486,2
culture driven team building,university of pennsylvania,specialization,4.6,beginner,17k,17000.0,culture driven team building university of pennsylvania specialization beginner,1,2,0.3056432446041914,7
curanderismo traditional healing using plants,university of new mexico,course,4.6,beginner,5.5k,5500.0,curanderismo traditional healing using plants university of new mexico course beginner,1,0,0.1616431365946435,3
customer segmentation and prospecting,northwestern university,course,4.7,beginner,18k,18000.0,customer segmentation and prospecting northwestern university course beginner,1,0,0.3320805802846895,3
cybersecurity,university of maryland college park,specialization,4.5,intermediate,99k,99000.0,cybersecurity university of maryland college park specialization intermediate,2,2,0.5113500597593683,2
